RPU Solicitante,Solicitud PA,Solicitud SIA,Solixtra SIA,ID Presup,Programa,Sufijo SICOM,Fecha Alta SICOM,Fecha Alta PA,Fecha Pago,Total Prestamo,Total Capital,Total Interes,Total IVA,Dif Total,Dif Capital,Dif Interes,Dif IVA,ID Promo
776970100456,494015,YU000166,2,RU119239,5,1,20190215,20190215,2019-02-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
776970700488,494017,YU000276,1,RU119397,5,1,20190215,20190215,2019-02-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
772841100533,494069,YU000269,1,RU119255,5,2,20190218,20190218,2019-02-22,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
772970700865,494140,YU000281,1,RU119303,5,1,20190219,20190219,2019-02-22,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
772070300039,494143,YU000283,1,RU119309,5,1,20190219,20190219,2019-02-22,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
778900400251,494145,YU000256,1,RU119116,5,1,20190219,20190219,2019-02-22,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
772890100191,494146,YU000015,3,SU106352,7,2,20190219,20190219,2019-02-26,12403.25,8340,3502.8,560.448,690,464.26,194.6,31.14,0
778001255984,494150,YU000242,3,RU119267,5,1,20190219,20190219,2019-02-22,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
777160200787,494198,YU000299,1,RU119603,5,1,20190221,20190221,2019-02-26,16825.92,10200,5712,913.92,702,425.92,238,38.08,0
778921100125,494199,YU000253,2,RU119263,5,2,20190221,20190221,2019-02-26,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
778071100121,494304,YU000289,2,RU119674,5,1,20190225,20190225,2019-03-01,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774080700534,494307,YU000282,1,RU119306,5,1,20190225,20190225,2019-03-01,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774941102897,494309,YU000294,1,RU119372,5,2,20190225,20190225,2019-03-01,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
772061102607,494311,YU000329,1,RU119903,5,1,20190225,20190225,2019-03-01,16825.92,10200,5712,913.92,702,425.92,238,38.08,0
778870800178,494317,YU000293,1,RU119366,5,1,20190226,20190226,2019-03-01,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
778121200318,494336,YU000296,3,RU119671,5,1,20190226,20190226,2019-03-01,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
773120604502,494350,YU000325,1,RU119883,5,1,20190226,20190226,2019-03-01,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
778060800040,494378,YU000292,2,RU119398,5,1,20190227,20190227,2019-03-05,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
778950800187,494380,YU000288,1,RU119328,5,1,20190227,20190227,2019-03-05,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
778990600091,494381,YU000313,1,RU119724,5,1,20190227,20190227,2019-03-05,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
778910200101,494386,YU000315,1,RU119727,5,2,20190227,20190227,2019-03-05,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
778991100068,494482,YU000287,1,RU119321,5,1,20190301,20190301,2019-03-05,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
776060300303,494491,YU000185,2,RU118971,5,1,20190301,20190301,2019-03-08,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774000257252,494498,YU000327,1,RU119866,5,1,20190301,20190301,2019-03-05,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
777120100569,494512,YU000298,1,RU119577,5,1,20190304,20190304,2019-03-08,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774000457171,494515,YU000318,1,RU119792,5,2,20190304,20190304,2019-03-08,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
772150100057,494516,YU000267,2,RU119750,5,1,20190304,20190304,2019-03-08,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
778060700657,494517,YU000291,2,RU119697,5,1,20190304,20190304,2019-03-08,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
772030200643,494524,YU000303,1,RU119633,5,1,20190305,20190305,2019-03-08,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
772100303186,494533,YU000379,1,RU120152,5,1,20190305,20190305,2019-03-12,14128.4,9500,3990,638.4,785,527.86,221.67,35.47,0
774991002176,494570,YU000394,1,RU120214,5,1,20190307,20190307,2019-03-15,14128.4,9500,3990,638.4,785,527.86,221.67,35.47,0
773050501000,494571,YU000030,4,RU119962,5,1,20190307,20190307,2019-03-15,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
778940200335,494585,YU000243,3,RU119421,5,2,20190308,20190308,2019-03-15,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
773141206787,494586,YU000272,1,RU119257,5,1,20190308,20190308,2019-03-15,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
772800401057,494663,YU000388,1,RU120120,5,1,20190311,20190311,2019-03-15,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
772151101197,494664,YU000170,2,RU119706,5,1,20190311,20190311,2019-03-15,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
775960300451,494708,YU000353,1,RU120007,5,2,20190312,20190312,2019-03-15,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
773100103051,494709,YU000413,1,RU120294,5,1,20190312,20190312,2019-03-15,14128.4,9500,3990,638.4,785,527.86,221.67,35.47,0
777141200270,494713,YU000367,1,RU120155,5,1,20190312,20190312,2019-03-15,12046.32,8100,3402,544.32,670,450.76,189,30.24,0
777140201507,494718,YU000404,1,RU120250,5,1,20190312,20190312,2019-03-15,9964.24,6700,2814,450.24,554,372.66,156.33,25.01,0
773910701826,494752,YU000338,1,RU119981,5,1,20190313,20190313,2019-03-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
776091201141,494753,YU000324,1,RU119810,5,1,20190313,20190313,2019-03-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
772920400259,494756,YU000414,3,RU120494,5,2,20190313,20190313,2019-03-19,14128.4,9500,3990,638.4,785,527.86,221.67,35.47,0
779070503228,494757,YU000423,1,RU120523,5,1,20190313,20190313,2019-03-19,14128.4,9500,3990,638.4,785,527.86,221.67,35.47,0
778950900157,494759,YU000306,1,RU119729,5,2,20190313,20190313,2019-03-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774841000205,494761,YU000393,2,SU107095,7,3,20190313,20190313,2019-03-19,25314.76,15346,8593.76,1375,1055,639.64,358.07,57.29,0
774980801620,494763,YU000449,2,RU120633,5,1,20190313,20190313,2019-03-19,14128.4,9500,3990,638.4,785,527.86,221.67,35.47,0
773910601180,494816,YU000332,1,RU119968,5,2,20190314,20190314,2019-03-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
778931100115,494817,YU000339,2,RU119983,5,1,20190314,20190314,2019-03-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
778090300611,494818,YU000273,1,RU119270,5,1,20190314,20190314,2019-03-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
771870801455,494751,YU000373,1,RU120063,5,2,20190314,20190314,2019-03-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
778140900118,494819,YU000274,1,RU119273,5,1,20190314,20190314,2019-03-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
775840700196,494820,YU000354,1,RU120008,5,2,20190314,20190314,2019-03-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
773040503438,494822,YU000425,1,RU120401,5,2,20190314,20190314,2019-03-19,14128.4,9500,3990,638.4,785,527.86,221.67,35.47,0
778970900374,494834,YU000347,1,RU119992,5,1,20190314,20190314,2019-03-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
778130700731,494835,YU000310,1,RU119741,5,1,20190314,20190314,2019-03-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
778080600136,494836,YU000330,1,RU119939,5,1,20190314,20190314,2019-03-19,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
777120300479,494868,YU000408,1,RU120283,5,1,20190315,20190315,2019-03-19,12046.32,8100,3402,544.32,670,450.76,189,30.24,0
777150102787,494875,YU000459,1,RU120682,5,1,20190315,20190315,2019-03-19,12046.32,8100,3402,544.32,670,450.76,189,30.24,0
775150501301,494876,YU000372,1,RU120061,5,1,20190319,20190319,2019-03-22,12046.32,8100,3402,544.32,670,450.76,189,30.24,0
775941000012,494877,YU000370,1,RU120057,5,2,20190319,20190319,2019-03-22,12046.32,8100,3402,544.32,670,450.76,189,30.24,0
770980100502,494880,YU000340,1,RU119986,5,2,20190319,20190319,2019-03-22,12046.32,8100,3402,544.32,670,450.76,189,30.24,0
774040602203,494881,YU000350,1,RU120002,5,1,20190319,20190319,2019-03-22,12046.32,8100,3402,544.32,670,450.76,189,30.24,0
773950500408,494882,YU000357,1,RU120035,5,2,20190319,20190319,2019-03-22,12046.32,8100,3402,544.32,670,450.76,189,30.24,0
778120300131,494909,YU000337,1,RU119980,5,1,20190319,20190319,2019-03-22,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
773140504741,494867,YU000377,1,RU120066,5,1,20190321,20190321,2019-03-26,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774060402171,494937,YU000418,1,RU120338,5,2,20190321,20190321,2019-03-26,14128.4,9500,3990,638.4,785,527.86,221.67,35.47,0
771131102328,494945,YU000427,1,RU120435,5,1,20190321,20190321,2019-03-26,12046.32,8100,3402,544.32,670,450.76,189,30.24,0
770770600189,494955,YU000301,1,RU119631,5,2,20190321,20190321,2019-03-26,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
773770900114,494956,YU000328,1,RU119872,5,1,20190321,20190321,2019-03-26,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
772750404441,494957,YU000376,1,RU120065,5,1,20190321,20190321,2019-03-26,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
777060301225,494959,YU000386,1,RU120092,5,1,20190321,20190321,2019-03-26,12046.32,8100,3402,544.32,670,450.76,189,30.24,0
774050100168,494960,YU000403,1,RU120249,5,1,20190321,20190321,2019-03-26,12046.32,8100,3402,544.32,670,450.76,189,30.24,0
778050800211,495015,YU000249,3,RU120723,5,2,20190322,20190322,2019-03-26,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
776130502804,495016,YU000271,2,SU106645,7,1,20190322,20190322,2019-03-26,18228.08,11050,6188,990.08,760,460.92,257.83,41.25,0
778820600127,495017,YU000322,1,RU119798,5,2,20190322,20190322,2019-03-26,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
774110902722,495018,YU000387,1,RU120113,5,1,20190322,20190322,2019-03-26,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
778980900194,495019,YU000405,1,RU120388,5,1,20190322,20190322,2019-03-26,14128.4,9500,3990,638.4,785,527.86,221.67,35.47,0
778140100049,495020,YU000406,1,RU120311,5,1,20190322,20190322,2019-03-26,14128.4,9500,3990,638.4,785,527.86,221.67,35.47,0
778940100314,495021,YU000410,1,RU120307,5,1,20190322,20190322,2019-03-26,14128.4,9500,3990,638.4,785,527.86,221.67,35.47,0
778010100586,495023,YU000434,1,RU120557,5,1,20190322,20190322,2019-03-26,14128.4,9500,3990,638.4,785,527.86,221.67,35.47,0
772960901111,495027,YU000270,1,RU119256,5,2,20190322,20190322,2019-03-26,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
778940200092,495028,YU000319,1,RU119793,5,2,20190322,20190322,2019-03-26,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
771850500858,495039,YU000358,2,RU120345,5,1,20190322,20190322,2019-03-26,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
775081000826,495040,YU000402,1,RU120248,5,2,20190322,20190322,2019-03-26,14128.4,9500,3990,638.4,785,527.86,221.67,35.47,0
772140402144,495062,YU000428,1,RU120479,5,1,20190322,20190322,2019-03-26,14128.4,9500,3990,638.4,785,527.86,221.67,35.47,0
775891100240,495063,YU000326,1,RU119863,5,1,20190322,20190322,2019-03-29,12046.32,8100,3402,544.32,670,450.76,189,30.24,0
772050401891,495071,YU000349,1,RU120001,5,2,20190322,20190322,2019-03-29,12046.32,8100,3402,544.32,670,450.76,189,30.24,0
775111100642,495073,YU000362,1,RU120047,5,1,20190322,20190322,2019-03-29,12046.32,8100,3402,544.32,670,450.76,189,30.24,0
777131003069,495074,YU000374,1,RU120070,5,1,20190322,20190322,2019-03-29,12046.32,8100,3402,544.32,670,450.76,189,30.24,0
778020400618,495075,YU000400,1,RU120379,5,2,20190322,20190322,2019-03-26,14128.4,9500,3990,638.4,785,527.86,221.67,35.47,0
777070600786,495077,YU000383,1,RU120087,5,1,20190322,20190322,2019-03-26,12046.32,8100,3402,544.32,670,450.76,189,30.24,0
774131001377,495107,YU000302,1,RU119635,5,1,20190325,20190325,2019-03-29,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
771960900517,495108,YU000371,1,RU120058,5,2,20190325,20190325,2019-03-29,13920.2,9360.01,3931.2,628.992,774,520.66,218.4,34.94,0
776130702463,495109,YU000412,2,RU120634,5,1,20190325,20190325,2019-03-29,14128.4,9500,3990,638.4,785,527.86,221.67,35.47,0
776070703791,495110,YU000396,1,RU120226,5,2,20190325,20190325,2019-03-29,12046.32,8100,3402,544.32,670,450.76,189,30.24,0
777150801910,495138,YU000361,1,RU120064,5,1,20190325,20190325,2019-03-29,12046.32,8100,3402,544.32,670,450.76,189,30.24,0
778950500094,495152,YU000443,1,RU120558,5,1,20190326,20190326,2019-03-29,14128.4,9500,3990,638.4,785,527.86,221.67,35.47,0
778951000117,495157,YU000438,1,RU120605,5,2,20190326,20190326,2019-03-29,14128.4,9500,3990,638.4,785,527.86,221.67,35.47,0
776080104365,495185,YU000426,1,RU120410,5,1,20190326,20190326,2019-03-29,12046.32,8100,3402,544.32,670,450.76,189,30.24,0
771950401181,495215,YU000445,1,RU120564,5,2,20190327,20190327,2019-04-02,14128.4,9500,3990,638.4,785,527.86,221.67,35.47,0
